epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1404.25,0.99601,0.67094,0.92603,0.88652,0.89202,0.94991,0.63968,0.94514,0.52872,0.8792,0.000885523,0.000885523,0.000885523
43,1443.02,0.95792,0.64036,0.90871,0.9163,0.87993,0.93217,0.66464,0.85394,0.55194,0.85006,0.000880023,0.000880023,0.000880023
44,1485.08,0.97454,0.6588,0.9205,0.91153,0.84853,0.92036,0.64312,0.91718,0.57082,0.86779,0.000874524,0.000874524,0.000874524
45,1524.22,0.95301,0.65477,0.91704,0.95274,0.88908,0.95119,0.68375,0.84634,0.4813,0.87436,0.000869024,0.000869024,0.000869024
46,1553.1,0.95776,0.62669,0.90576,0.91333,0.9107,0.95121,0.6773,0.84729,0.52863,0.85053,0.000863525,0.000863525,0.000863525
47,1578.83,0.95204,0.60402,0.90928,0.93497,0.93178,0.97118,0.69022,0.86574,0.49008,0.86048,0.000858025,0.000858025,0.000858025
48,1619.89,0.91084,0.60127,0.91767,0.92846,0.95267,0.97952,0.71121,0.84343,0.47157,0.85498,0.000852526,0.000852526,0.000852526
49,1648.59,0.94831,0.61286,0.90529,0.91979,0.95194,0.97725,0.70505,0.83279,0.47506,0.85244,0.000847026,0.000847026,0.000847026
50,1669.33,0.91831,0.59688,0.91181,0.95917,0.93677,0.98294,0.70978,0.82978,0.45695,0.85169,0.000841527,0.000841527,0.000841527
51,1689.5,0.93966,0.59869,0.92367,0.90323,0.84233,0.93189,0.63678,0.91134,0.53607,0.86532,0.000836027,0.000836027,0.000836027
52,1709.45,0.96847,0.63528,0.91901,0.95444,0.94,0.97935,0.70407,0.84455,0.44898,0.84511,0.000830528,0.000830528,0.000830528
53,1732.5,0.91904,0.62813,0.92702,0.93869,0.9125,0.95644,0.65386,0.87945,0.49575,0.85971,0.000825029,0.000825029,0.000825029
54,1766.51,0.95008,0.60372,0.91145,0.92615,0.85426,0.92638,0.63114,0.88126,0.60531,0.86827,0.000819529,0.000819529,0.000819529
55,1813.28,0.93737,0.61659,0.9054,0.91134,0.92868,0.97377,0.71396,0.80894,0.47813,0.86702,0.00081403,0.00081403,0.00081403
56,1847.04,0.88781,0.57986,0.92617,0.9403,0.95084,0.98205,0.70631,0.82708,0.47329,0.85553,0.00080853,0.00080853,0.00080853
57,1866.67,0.90786,0.55678,0.89684,0.90137,0.94157,0.96739,0.69557,0.78467,0.48211,0.84176,0.000803031,0.000803031,0.000803031
58,1900.96,0.90338,0.5697,0.89195,0.847,0.90541,0.95556,0.67707,0.84925,0.5261,0.85683,0.000797531,0.000797531,0.000797531
59,1947,0.89993,0.56325,0.9051,0.97656,0.98109,0.99167,0.73621,0.76714,0.41892,0.83476,0.000792032,0.000792032,0.000792032
60,1990.33,0.92325,0.58127,0.91684,0.91499,0.95593,0.97152,0.69992,0.82055,0.45862,0.84467,0.000786532,0.000786532,0.000786532
61,2035.26,0.88328,0.56794,0.89332,0.90044,0.91184,0.95716,0.67584,0.86173,0.47039,0.85117,0.000781033,0.000781033,0.000781033
62,2079.63,0.85786,0.53178,0.88199,0.97087,0.94109,0.98556,0.74196,0.8045,0.44249,0.84182,0.000775534,0.000775534,0.000775534
63,2118.58,0.86567,0.5313,0.88168,0.97255,0.95872,0.98859,0.7324,0.79867,0.42888,0.83837,0.000770034,0.000770034,0.000770034
64,2158.91,0.92204,0.55769,0.89291,0.83499,0.74499,0.87543,0.56233,0.96424,0.66169,0.88932,0.000764535,0.000764535,0.000764535
65,2201.03,0.87353,0.52689,0.89523,0.96466,0.96935,0.9836,0.71388,0.80515,0.44078,0.8349,0.000759035,0.000759035,0.000759035
66,2241.91,0.85776,0.52492,0.8927,0.95087,0.98453,0.98535,0.71562,0.81789,0.4362,0.83001,0.000753536,0.000753536,0.000753536
67,2280.3,0.87814,0.52026,0.89465,0.86378,0.91877,0.94611,0.63602,0.91544,0.48864,0.85542,0.000748036,0.000748036,0.000748036
68,2307.61,0.86979,0.51618,0.88347,0.93044,0.9746,0.97722,0.72429,0.7715,0.40531,0.84372,0.000742537,0.000742537,0.000742537
69,2331.62,0.86021,0.52707,0.87804,0.98016,0.97236,0.99028,0.75392,0.75975,0.40556,0.83073,0.000737037,0.000737037,0.000737037
70,2354.01,0.82798,0.52196,0.8887,0.94245,0.86621,0.95302,0.69991,0.80538,0.4753,0.83654,0.000731538,0.000731538,0.000731538
71,2394.8,0.86283,0.53489,0.89327,0.94448,0.98907,0.98487,0.7359,0.79716,0.40522,0.84315,0.000726038,0.000726038,0.000726038
72,2437.81,0.85047,0.52763,0.88916,0.94231,0.86415,0.93159,0.67354,0.85852,0.526,0.91315,0.000720539,0.000720539,0.000720539
73,2485.56,0.85221,0.49259,0.87919,0.90937,0.84326,0.90784,0.64364,0.89471,0.57553,0.92452,0.00071504,0.00071504,0.00071504
74,2527.54,0.85281,0.52412,0.89396,0.92251,0.85652,0.94026,0.67151,0.85827,0.51225,0.8717,0.00070954,0.00070954,0.00070954
75,2572.96,0.87828,0.5212,0.8754,0.97088,1,0.99227,0.76204,0.74378,0.38782,0.82888,0.000704041,0.000704041,0.000704041
76,2618.25,0.82497,0.49677,0.88434,0.97596,0.98059,0.99428,0.76484,0.75649,0.38574,0.82611,0.000698541,0.000698541,0.000698541
77,2669.01,0.83634,0.4957,0.8719,0.99065,0.94624,0.99288,0.76369,0.73534,0.38715,0.82257,0.000693042,0.000693042,0.000693042
78,2708.62,0.8197,0.49673,0.87459,0.95422,0.94414,0.98259,0.72115,0.77621,0.41792,0.84053,0.000687542,0.000687542,0.000687542
79,2754.71,0.79383,0.47715,0.88973,0.98648,0.99285,0.99406,0.78235,0.68456,0.37103,0.81668,0.000682043,0.000682043,0.000682043
80,2795.63,0.83061,0.50052,0.86529,0.98663,0.99342,0.99415,0.78715,0.69449,0.37461,0.82137,0.000676543,0.000676543,0.000676543
81,2837.87,0.81321,0.47467,0.87132,0.97262,0.99696,0.99305,0.76323,0.7588,0.3806,0.83202,0.000671044,0.000671044,0.000671044
82,2882.32,0.78284,0.46384,0.87307,0.98521,0.99098,0.99309,0.7929,0.68659,0.36305,0.82174,0.000665545,0.000665545,0.000665545
83,2927.58,0.8036,0.47492,0.88124,0.97243,0.99283,0.9909,0.7623,0.69605,0.37628,0.81899,0.000660045,0.000660045,0.000660045
84,2970.16,0.7908,0.46344,0.86677,0.97889,0.98085,0.99178,0.77701,0.68178,0.36899,0.81216,0.000654546,0.000654546,0.000654546
85,3017.7,0.77895,0.45882,0.86849,0.97379,0.99404,0.99252,0.79187,0.6582,0.35878,0.81045,0.000649046,0.000649046,0.000649046
86,3060.37,0.76919,0.4653,0.86501,0.93443,0.90538,0.96407,0.72146,0.75767,0.45672,0.85287,0.000643547,0.000643547,0.000643547
87,3107.46,0.78174,0.46773,0.86307,0.97178,1,0.99053,0.77443,0.68464,0.3757,0.81987,0.000638047,0.000638047,0.000638047
88,3148.18,0.82441,0.5077,0.88453,0.9511,1,0.99327,0.77574,0.64899,0.36527,0.81508,0.000632548,0.000632548,0.000632548
89,3192.94,0.80187,0.47849,0.86547,0.9812,0.99609,0.99225,0.78498,0.63506,0.35999,0.80953,0.000627048,0.000627048,0.000627048
90,3238.28,0.78455,0.46959,0.87836,0.96677,0.99583,0.99376,0.77369,0.68154,0.3682,0.81471,0.000621549,0.000621549,0.000621549
91,3278.69,0.78224,0.48032,0.87667,0.97675,0.92418,0.98405,0.71878,0.80094,0.41251,0.85776,0.000616049,0.000616049,0.000616049
92,3322.56,0.82466,0.49477,0.8888,0.9788,1,0.99482,0.77216,0.67198,0.37175,0.81835,0.00061055,0.00061055,0.00061055
93,3363.69,0.78714,0.46581,0.87044,0.98315,0.98233,0.99114,0.77155,0.66389,0.38058,0.81532,0.000605051,0.000605051,0.000605051
94,3404.97,0.79112,0.46701,0.87047,0.95388,0.99241,0.99161,0.76139,0.70828,0.38192,0.83023,0.000599551,0.000599551,0.000599551
95,3446.54,0.82338,0.47905,0.86734,0.95766,0.98924,0.9929,0.77283,0.68007,0.37371,0.82761,0.000594052,0.000594052,0.000594052
96,3488.77,0.75533,0.43673,0.85651,0.98817,1,0.99455,0.78273,0.65598,0.3487,0.81186,0.000588552,0.000588552,0.000588552
97,3529.1,0.75556,0.441,0.84598,0.98731,1,0.99482,0.79611,0.6324,0.33357,0.80884,0.000583053,0.000583053,0.000583053
98,3568.81,0.7553,0.44955,0.87817,0.99391,0.99566,0.995,0.79333,0.62243,0.32641,0.80017,0.000577553,0.000577553,0.000577553
99,3594.39,0.74718,0.45202,0.86638,0.97771,0.99562,0.99209,0.79303,0.60023,0.3301,0.8002,0.000572054,0.000572054,0.000572054
100,3615.46,0.73397,0.42242,0.85823,0.99499,0.99549,0.99494,0.80907,0.58141,0.31787,0.79979,0.000566554,0.000566554,0.000566554
101,3656.16,0.75372,0.43843,0.85904,0.99481,1,0.995,0.79348,0.63509,0.34487,0.80482,0.000561055,0.000561055,0.000561055
102,3698.31,0.74178,0.43786,0.86764,0.99076,0.99855,0.995,0.80798,0.59235,0.3392,0.80361,0.000555556,0.000555556,0.000555556
103,3739.39,0.74489,0.42596,0.85597,0.99513,1,0.995,0.8118,0.59478,0.33607,0.80973,0.000550056,0.000550056,0.000550056
104,3782.58,0.73414,0.43634,0.86176,0.99366,1,0.99421,0.81264,0.58873,0.31907,0.80724,0.000544557,0.000544557,0.000544557
105,3826.5,0.72889,0.42562,0.86058,0.99717,1,0.995,0.82391,0.56219,0.31516,0.80627,0.000539057,0.000539057,0.000539057
106,3868.37,0.74346,0.44285,0.86449,0.99619,0.9964,0.995,0.81545,0.58625,0.30825,0.8029,0.000533558,0.000533558,0.000533558
107,3910,0.73554,0.42549,0.8652,0.9901,0.99638,0.99497,0.80945,0.5936,0.322,0.80629,0.000528058,0.000528058,0.000528058
108,3953.92,0.75013,0.44237,0.86578,0.99282,1,0.995,0.81089,0.5809,0.32167,0.80904,0.000522559,0.000522559,0.000522559
109,3997.78,0.77035,0.44956,0.86785,0.99762,0.98635,0.995,0.80797,0.62767,0.3368,0.81232,0.000517059,0.000517059,0.000517059
110,4044.22,0.75185,0.43338,0.8638,0.99474,1,0.995,0.81202,0.57217,0.30977,0.80455,0.00051156,0.00051156,0.00051156
111,4089.76,0.73541,0.42138,0.85343,0.97715,1,0.99309,0.80838,0.57657,0.31831,0.80178,0.00050606,0.00050606,0.00050606
112,4134.48,0.70134,0.40481,0.8593,0.98187,1,0.99485,0.80156,0.6183,0.32791,0.80561,0.000500561,0.000500561,0.000500561
113,4176.92,0.72518,0.42146,0.85338,0.98669,1,0.99497,0.81085,0.60137,0.31784,0.80113,0.000495062,0.000495062,0.000495062
114,4225.4,0.72212,0.42047,0.86034,0.98125,1,0.99436,0.80735,0.58549,0.32363,0.79803,0.000489562,0.000489562,0.000489562
115,4268.24,0.69168,0.40265,0.85992,0.98824,1,0.99476,0.82433,0.55024,0.3068,0.79766,0.000484063,0.000484063,0.000484063
116,4311.54,0.69309,0.39039,0.84967,0.98584,0.99554,0.99249,0.81378,0.54326,0.30496,0.80001,0.000478563,0.000478563,0.000478563
117,4351.22,0.71391,0.41787,0.85218,0.98648,0.98584,0.99413,0.76652,0.63665,0.33958,0.80353,0.000473064,0.000473064,0.000473064
118,4396.54,0.70634,0.41282,0.85397,0.97886,0.99678,0.99459,0.82014,0.5672,0.31194,0.79689,0.000467564,0.000467564,0.000467564
119,4437.36,0.67935,0.4029,0.8489,0.97808,0.9954,0.99318,0.81841,0.5487,0.32026,0.79588,0.000462065,0.000462065,0.000462065
120,4476.65,0.70221,0.40861,0.84585,0.9905,1,0.99497,0.82407,0.55623,0.31577,0.7972,0.000456565,0.000456565,0.000456565
121,4519.9,0.72418,0.42305,0.857,0.98433,0.99015,0.99467,0.80911,0.579,0.31619,0.79803,0.000451066,0.000451066,0.000451066
122,4564.23,0.68928,0.40565,0.85062,0.98604,0.98905,0.99393,0.81395,0.57812,0.30626,0.79971,0.000445567,0.000445567,0.000445567
123,4601.8,0.69413,0.40154,0.83834,0.98433,1,0.995,0.82495,0.55355,0.30318,0.79633,0.000440067,0.000440067,0.000440067
124,4642.3,0.68483,0.40559,0.85492,0.98918,0.98651,0.995,0.82892,0.53902,0.29983,0.79634,0.000434568,0.000434568,0.000434568
125,4681.35,0.67694,0.39554,0.84737,0.99073,0.98508,0.99448,0.83618,0.53919,0.29803,0.79121,0.000429068,0.000429068,0.000429068
126,4726.43,0.69595,0.41181,0.85489,0.98585,1,0.99237,0.82253,0.55406,0.30154,0.79294,0.000423569,0.000423569,0.000423569
127,4757.04,0.67593,0.39745,0.84085,0.97843,1,0.99328,0.83401,0.5078,0.29577,0.79392,0.000418069,0.000418069,0.000418069
128,4796.45,0.66683,0.38195,0.84039,0.98916,1,0.99478,0.84377,0.51212,0.28603,0.79456,0.00041257,0.00041257,0.00041257
129,4836.99,0.66991,0.39291,0.85276,0.9905,1,0.9925,0.82623,0.52838,0.29578,0.79169,0.00040707,0.00040707,0.00040707
130,4877.34,0.6869,0.39055,0.83887,0.99034,1,0.99298,0.82869,0.54853,0.30236,0.7934,0.000401571,0.000401571,0.000401571
131,4920.32,0.66918,0.39027,0.85168,0.99501,0.99609,0.99452,0.81299,0.56925,0.30579,0.79512,0.000396071,0.000396071,0.000396071
132,4964.28,0.65283,0.39067,0.83743,0.99449,0.99566,0.99402,0.8392,0.52117,0.283,0.79097,0.000390572,0.000390572,0.000390572
133,5007.25,0.65462,0.3838,0.84739,0.98608,1,0.99372,0.83657,0.50872,0.28113,0.79075,0.000385073,0.000385073,0.000385073
134,5049.45,0.68528,0.40141,0.83727,0.98832,1,0.99482,0.83215,0.4967,0.28941,0.78937,0.000379573,0.000379573,0.000379573
135,5100.45,0.67257,0.3944,0.83889,0.99214,0.99701,0.99416,0.84155,0.51161,0.29031,0.79345,0.000374074,0.000374074,0.000374074
136,5141.32,0.70459,0.41838,0.85716,0.99486,0.99569,0.99312,0.83984,0.51269,0.29549,0.78982,0.000368574,0.000368574,0.000368574
137,5189.07,0.65563,0.37311,0.83583,0.98649,1,0.99286,0.8366,0.50041,0.28787,0.79145,0.000363075,0.000363075,0.000363075
138,5235.53,0.6463,0.38253,0.84748,0.98988,1,0.99478,0.84132,0.51601,0.28774,0.7894,0.000357575,0.000357575,0.000357575
139,5278.31,0.67352,0.37863,0.8458,0.99125,0.99629,0.99446,0.84506,0.50743,0.28342,0.78587,0.000352076,0.000352076,0.000352076
140,5319.32,0.64635,0.36636,0.83976,0.99158,1,0.99473,0.85492,0.4818,0.27262,0.78949,0.000346576,0.000346576,0.000346576
141,5356.54,0.63789,0.35833,0.83194,0.9928,0.9955,0.99494,0.847,0.48073,0.26948,0.79299,0.000341077,0.000341077,0.000341077
142,5385.45,0.62622,0.35819,0.83362,0.99011,1,0.99428,0.86167,0.47101,0.27059,0.788,0.000335578,0.000335578,0.000335578
143,5428.31,0.6438,0.37042,0.83145,0.9923,1,0.99419,0.86517,0.46098,0.26919,0.78513,0.000330078,0.000330078,0.000330078
144,5470.32,0.62872,0.35762,0.82068,0.98997,1,0.99434,0.86188,0.46633,0.27796,0.78313,0.000324579,0.000324579,0.000324579
145,5511.85,0.64123,0.3676,0.84418,0.99325,1,0.99478,0.86128,0.46999,0.27202,0.78333,0.000319079,0.000319079,0.000319079
146,5549.69,0.64003,0.36868,0.83718,0.99407,1,0.99481,0.84953,0.47806,0.27555,0.78925,0.00031358,0.00031358,0.00031358
147,5589.5,0.64721,0.37249,0.83441,0.99699,1,0.995,0.84648,0.47508,0.27337,0.78906,0.00030808,0.00030808,0.00030808
148,5635.18,0.63481,0.37386,0.84501,0.99492,0.99567,0.99487,0.79831,0.62752,0.31106,0.79884,0.000302581,0.000302581,0.000302581
149,5674.02,0.62522,0.35639,0.83127,0.99463,1,0.99381,0.83769,0.52991,0.27781,0.79062,0.000297081,0.000297081,0.000297081
150,5714.17,0.63974,0.37771,0.84414,0.99282,1,0.99352,0.84436,0.48918,0.27738,0.78546,0.000291582,0.000291582,0.000291582
151,5758.04,0.6481,0.37274,0.84019,0.9953,1,0.99481,0.85679,0.46766,0.26596,0.78704,0.000286083,0.000286083,0.000286083
152,5803.75,0.61426,0.35699,0.83443,0.99425,0.98592,0.99481,0.84514,0.48904,0.27696,0.78602,0.000280583,0.000280583,0.000280583
153,5846.44,0.62836,0.36413,0.84185,0.98838,0.98857,0.99494,0.85049,0.49088,0.27694,0.78343,0.000275084,0.000275084,0.000275084
